,language,family,core inventory
340,Marwari (Shekhawati dialect),INDO-EUROPEAN (Indo-Aryan),"['pʰ', 't̪ʰ', 'ʈʰ', 'cʰ', 'kʰ', 'p', 't̪', 'ʈ', 'c', 'k', 'ĩː', 'ũː', 'bʰ', 'd̪ʰ', 'ɖʰ', 'ɟʰ', 'ɡʰ', 'iː', 'uː', 'b', 'd̪', 'ɖ', 'ɟ', 'ɡ', 'ɪ̃', 'ʊ̃', 's̪', 'h', 'ɪ', 'ʊ', 'm', 'n̪', 'ɳ', 'ẽː', 'ə̃', 'õː', 'l̪', 'ɭ', 'eː', 'ə', 'oː', 'r̪', 'ɛ̃ː', 'ãː', 'ɔ̃ː', 'ɽ', 'ɛː', 'aː', 'ɔː', 'w', 'j', '']"
341,Masalit,NILO-SAHARAN,"['t', 'c', 'k', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 'f', 's', 'ʃ', 'h', 'e', 'ɜ', 'ʌ', 'o', 'ʒ', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'r', 'j', 'w', '']"
342,Maya (Yucatan),MAYAN,"['p', 't', 'k', 'pʼ', 'tʼ', 'kʼ', 'ʔ', 'i', 'u', 'ɓ', 'e', 'o', 'ts', 'tʃ', 'a', 'tsʼ', 'tʃʼ', 's', 'ʃ', 'h', 'm', 'n', 'ɲ', 'l', 'r', 'j', 'w', '']"
343,"Maya, Chontal (Tabasco Chontal)",MAYAN,"['p', 't̪', 'k', 'ʔ', 'pʼ', 't̪ʼ', 'kʼ', 'i', 'u', 'b', 'd̪', 'ɡ', 'ɨ̞', 'ts', 'tʃ', 'e', 'o', 'tsʼ', 'tʃʼ', 'a', 'ɸ', 's', 'ç', 'h', 'm', 'n̪', 'ɲ', 'l', 'ɾ', 'r', 'j', 'w', '']"
344,"Maya, Itzaj (Itzá)",MAYAN,"['p', 't̪', 'k', 'pʼ', 't̪ʼ', 'kʼ', 'i', 'u', 'ɓ', 'ɨ̞', 't̪s̪', 'tʃ', 'e', 'o', 't̪s̪ʼ', 'tʃʼ', 'a', 's', 'ʃ', 'h', 'm', 'n̪', 'iː', 'uː', 'l̪', 'eː', 'oː', 'r', 'aː', 'w', 'j', '']"
345,Mbili,NIGER-CONGO (Bantu),"['t', 'tː', 'k', 'kː', 'ʔ', 'b', 'd', 'ɡ', 'iː', 'uː', 'pf', 'ts', 'tʃ', 'tːʃ', 'i', 'ɨ', 'u', 'bv', 'dz', 'dʒ', 'dːʒ', 'eː', 'f', 'fː', 's', 'ʃ', 'x', 'h', 'e', 'β', 'v', 'z', 'ʒ', 'ɣ', 'ɣ̀', 'ɛː', 'əː', 'ɔː', 'm', 'mː', 'n', 'nː', 'ŋ', 'ɛ', 'ə', 'ɔ', 'l', 'lː', 'aː', 'w', 'ɥ', 'j', 'a', '']"
346,Melanesian Pidgin English (Tok Pisin),CREOLE,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'ɪ', 'ʊ', 'v', 'e', 'o', 'm', 'n', 'ɲ', 'ɛ', 'ə', 'ɔ', 'r', 'æ', 'ɑ', 'l', 'h', '']"
347,Melayu Betawi,CREOLE,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'ʃ', 'i', 'u', 'm', 'n', 'ɲ', 'ŋ', 'e', 'o', 'r', 'ə', 'l', 'a', 'w', 'j', 'h', '']"
348,Mende,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', '\uf180b', 'ⁿd', 'ⁿʒ', '\uf182ɡ', '\uf182ɡ͡b', 'e', 'o', 'f', 's', 'ɛ', 'ɔ', 'v', 'ʒ', 'ɦ', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'j', 'w', '']"
349,Menomini,ALGIC,"['p', 't', 'tʃ', 'k', 'ʔ', 'i', 'u', 'iː', 'uː', 's', 'h', 'e', 'o', 'eː', 'oː', 'm', 'n', 'æ', 'a', 'æː', 'aː', 'w', 'j', '']"
350,Meriam (Mer),TRANS-NEW GUINEA,"['p', 't', 'k', 'b', 'd', 'ɡ', 's', 'i', 'u', 'z', 'e', 'o', 'm', 'n', 'a', 'r', 'w', 'j', '']"
351,Mikasuki,MUSKOGEAN,"['p', 't', 'tʃ', 'k', 'ĩː', 'õː', 'iː', 'oː', 'b', 'ĩ', 'õ', 'i', 'o', 'f', 'ʃ', 'ãː', 'aː', 'ɬ', 'ã', 'a', 'm', 'n', 'w', 'l', 'j', 'h', '']"
352,Mikir,SINO-TIBETAN,"['pʰ', 'tʰ', 'kʰ', 'p', 't', 'k', 'ʔ', 'bʰ', 'dʰ', 'ɡʰ', 'b', 'd', 'ɡ', 'i', 'u', 'tsʰ', 'e', 'o', 'ts', 'a', 'dz', 'h', 'm', 'n', 'ŋ', 'l', 'r', 'v', 'j', '']"
353,Miogliola Ligurian,INDO-EUROPEAN (Italic),"['p', 't', 'k', 'b', 'd', 'ɡ', 'iː', 'yː', 'uː', 'ts', 'tʃ', 'i', 'y', 'u', 'dz', 'dʒ', 'eː', 'øː', 'oː', 'f', 's', 'ʃ', 'e', 'ø', 'o', 'v', 'z', 'ʒ', 'æː', 'ɑː', 'ɔː', 'm', 'n', 'ɲ', 'ŋ', 'æ', 'ɑ', 'l', 'ʎ', 'ɾ', '']"
354,Mishmi,SINO-TIBETAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 'tʃ', 'e', 'o', 'dʒ', 'a', 's', 'h', 'z', 'm', 'n', 'ŋ', 'ẽ', 'õ', 'l', 'ã', 'r', 'w', 'j', '']"
355,Mising,SINO-TIBETAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ts', 'i', 'ɨ˞', 'u', 'z', 'ə˞', 'm', 'n', 'ɲ', 'ŋ', 'e', 'a', 'ɔ', 'r', 'l', 'au', 'ɔi', 'w', 'j', '']"
356,"Mixe, Lowland (Coatlán variety)",MIXE-ZOQUE,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 'ts', 'e', 'o', 'dz', 'a', 'h', 'm', 'n', 'ŋ', 'w', 'j', '']"
357,"Mixe, Lowland (Guichicovi variety)",MIXE-ZOQUE,"['p', 't', 'k', 'ʔ', 'ts', 'i', 'ɨ', 'u', 'iː', 'ɨː', 'uː', 'iːː', 'ɨːː', 'uːː', 'ʃ', 'h', 'e', 'ə', 'o', 'eː', 'oː', 'eːː', 'oːː', 'm', 'n', 'a', 'aː', 'aːː', 'w', 'j', '']"
358,"Mixe, Lowland (San José El Paraíso variety)",MIXE-ZOQUE,"['p', 't', 'k', 'ʔ', 'i', 'ɨ', 'u', 'ts', 'e', 'o', 'a', 'ʃ', 'h', 'm', 'n', 'ŋ', 'l', 'ɾ', 'r', 'w', 'j', '']"
359,"Mixe, Lowland (San Juan el Paraíso variety)",MIXE-ZOQUE,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 'ts', 'e', 'o', 'dz', 'a', 'h', 'm', 'n', 'ŋ', 'w', 'j', '']"
360,"Mixe, Midland",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
361,"Mixe, Midland (Atitlán variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
362,"Mixe, Midland (Cacalotepec variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
363,"Mixe, Midland (Cotzocón variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
364,"Mixe, Midland (Jaltepec variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
365,"Mixe, Midland (Juquila variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
366,"Mixe, Midland (Matamoros variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
367,"Mixe, Midland (Muxmetacán variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
368,"Mixe, Midland (Puxmetacán variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'w', 'j', 'æ', 'a', '']"
369,"Mixe, North Highland (Totontepec Mixe)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'd', 'ɡ', 'i', 'ɨ', 'u', 'ts', 'e', 'ʌ', 'ʊ', 's', 'ʃ', 'h', 'æ', 'a', 'o', 'v', 'ʒ', 'm', 'n', 'j', '']"
370,"Mixe, South Highland (Mixistlán variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'æ', 'ɑ', 'w', 'j', '']"
371,"Mixe, South Highland (Tepantlali variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'æ', 'a', 'w', 'j', '']"
372,"Mixe, South Highland (Tepuxtepec variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'o', 'a', 'w', 'j', '']"
373,"Mixe, South Highland (Tlahuitoltepec variety)",MIXE-ZOQUE,"['p', 't', 'c', 'k', 'ʔ', 'ʃ', 'h', 'i', 'ɨ', 'u', 'm', 'n', 'e', 'ʊ', 'a', 'o', 'w', 'j', '']"
374,Mofu,AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'kʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', '\uf182ɡʷ', 'e', 'o', 'ts', 'ə', 'dz', 'a', 'ⁿdz', 'f', 's', 'v', 'z', 'ⁿz', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', 'ʔ', '']"
375,Mohawk,IROQUOIAN,"['t', 'k', 'ʔ', 's', 'h', 'i', 'ũ', 'n', 'e', 'ʌ̃', 'o', 'r', 'a', 'w', 'j', '']"
376,Mojave (Mohave),HOKAN,"['p', 't̪', 'ʈ', 'tʃ', 'kʲ', 'k', 'kʷ', 'q', 'qʷ', 'ʔ', 'iː', 'i', 'uː', 'u', 'θ', 's', 'ʃ', 'h', 'hʷ', 'eː', 'e', 'ə', 'oː', 'o', 'v', 'ð', 'aː', 'a', 'm', 'n', 'ɳ', 'nʲ', 'l', 'lʲ', 'r', 'w', 'j', '']"
377,Mokilese,AUSTRONESIAN,"['p', 'pʷ', 't', 'c', 'k', 'i', 'u', 's', 'e', 'o', 'm', 'mʷ', 'n', 'ŋ', 'ɛ', 'ɔ', 'l', 'a', 'r', '']"
378,Moloko (Melokwo),AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'kʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'ø', 'o', 'ts', 'ə', 'dz', 'a', 'f', 's', 'v', 'z', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', '']"
379,Mongolian (Halh Mongolian),ALTAIC,"['t̪ʰ', 'b', 'd̪', 'ɡ', 'i', 'ʉ', 'ɨ', 'u', 't̪s̪', 'tʃʰ', 'e', 'ɵ', 'a', 'o', 'd̪z̪', 'dʒ', 's', 'ʃ', 'x', 'β', 'm', 'n̪', 'l', 'r', '']"
380,Montagnais,ALGIC,"['p', 't', 'tʃ', 'k', 'iː', 'uː', 'i', 'u', 'ʃ', 'h', 'eː', 'm', 'n', 'aː', 'a', '']"
381,Montagnais (some areas),ALGIC,"['p', 't', 'tʃ', 'k', 'iː', 'uː', 'i', 'u', 'ʃ', 'h', 'eː', 'm', 'n', 'aː', 'a', '']"
382,Muktile (Matal),AFRO-ASIATIC (Chadic),"['p', 't', 'c', 'k', 'kʷ', 'b', 'd', 'ɟ', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', 'ts', 'o', 'dz', 'ə', 'f', 's', 'ɕ', 'a', 'v', 'z', 'ʑ', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', '']"
383,Mumuye (Zing dialect),NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'ɓ', 'o', 'f', 's', 'ʃ', 'ɛ', 'ɔ', 'v', 'z', 'ʒ', 'a', 'm', 'n', 'ɲ', 'r', 'ĩ', 'ũ', 'l', 'ɛ̃', 'õ', 'j', 'w', 'h', 'ã', '']"
384,Muna,AUSTRONESIAN,"['p', 't', 'k', 'b', 'd̪', 'd', 'ɡ', '\uf180p', 'ⁿt', '\uf182k', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'ɛ', 'ɔ', 'ɓ', 'a', 'f', 's', 'h', 'ʁ', 'ⁿs', 'm', 'n', 'ŋ', 'r', 'l', 'w', '']"
385,Mundari,AUSTRO-ASIATIC,"['p', 't', 'ʈ', 'tʃ', 'k', 'i', 'u', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'iʔi', 'uʔu', 's', 'h', 'e', 'o', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'eʔe', 'oʔo', 'l', 'a', 'r', 'ɽ', 'aʔa', 'w', 'j', '']"
386,Mupun,AFRO-ASIATIC (Chadic),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'ɓ', 'ɗ', 'e', 'o', 'f', 's', 'h', 'a', 'v', 'z', 'm', 'n', 'ŋ', 'iː', 'uː', 'l', 'eː', 'oː', 'r', 'aː', 'w', 'j', '']"
387,Mupun (Jipari dialect),AFRO-ASIATIC (Chadic),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'ɓ', 'ɗ', 'e', 'o', 'f', 's', 'h', 'a', 'v', 'z', 'm', 'n', 'ŋ', 'iː', 'uː', 'l', 'eː', 'oː', 'r', 'aː', 'w', 'j', '']"
388,Muruwari,AUSTRALIAN (Pama-Nyungan),"['p', 't̪', 't', 'ʈ', 'c', 'k', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'iː', 'uː', 'l', 'ɭ', 'i', 'u', 'r', 'aː', 'ɾ', 'a', 'w', 'ɻ', 'j', '']"
389,Muyang,AFRO-ASIATIC (Chadic),"['p', 't', 'c', 'k', 'kʷ', 'b', 'd', 'ɟ', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'ʉ', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'o', 'ts', 'ə', 'dz', 'a', 'ⁿdz', 'f', 's', 'ɕ', 'v', 'z', 'ʑ', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', '']"
390,Mwera,NIGER-CONGO (Bantu),"['pʼ', 'tʰ', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'm', 'n', 'ɲ', 'ŋ', 'e', 'o', 'l', 'a', 'β', 'h', 'j', 'w', '']"
391,Nagamese (Naga Pidgin),CREOLE,"['pʰ', 'tʰ', 'kʰ', 'p', 't', 'k', 'i', 'u', 'bʰ', 'dʰ', 'ɡʰ', 'e', 'o', 'b', 'd', 'ɡ', 'ɔ', 's', 'ʃ', 'h', 'aː', 'z', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', '']"
392,"Nahual, Michoacán (Michoacán Nahuatl)",UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'ʔ', 'i', 'u', 'ts', 'tʃ', 'e', 'o', 's', 'ʃ', 'h', 'a', 'm', 'n', 'l', 'ʍ', 'j̥', 'w', 'j', '']"
393,"Nahuatl, Huasteca",UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'ʔ', 'ɡ', 'i', 'ts', 'tʃ', 'tɬ', 'e', 'o', 's', 'ʃ', 'a', 'm', 'n', 'l', 'iː', 'ʍ', 'h', 'eː', 'oː', 'w', 'j', 'aː', '']"
394,"Nahuatl, North Puebla",UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'ʔ', 'ts', 'tɬ', 'tʃ', 'i', 'o', 's', 'ʃ', 'e', 'a', 'm', 'n', 'l', 'w', 'j', '']"
395,"Nahuatl, Tetelcingo",UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'i', 'u', 'ts', 'tɬ', 'tʃ', 'ɪ', 'o', 's', 'ʃ', 'ie', 'ɔ', 'm', 'n', 'e', 'a', 'l', 'r', 'w', 'j', 'h', '']"
396,Nalik,AUSTRONESIAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 's', 'e', 'o', 'β', 'v', 'z', 'a', 'ɒ', 'm', 'n', 'ŋ', 'l', 'ai', 'oi', 'au', 'r', 'ei', 'ou', 'w', 'j', '']"
397,Nangikurrunggurr/Ngankikuringkurr,AUSTRALIAN,"['p', 't', 'c', 'k', 'b', 'd', 'ɡ', 'ɸ', 'ʂ', 'ʃ', 'i', 'u', 'm', 'n', 'ɲ', 'ŋ', 'e', 'a', 'l', 'ʎ', 'r', 'ɾ', 'w', 'j', '']"
398,Navajo (Navaho),NA-DENE,"['t', 'k', 'kʷ', 'tʼ', 'kʼ', 'iː', 'ĩː', 'b', 'd', 'ɡ', 'eː', 'oː', 'ẽː', 'õː', 'ts', 'tʃ', 'tɬ', 'aː', 'ãː', 'tsʼ', 'tʃʼ', 'tɬʼ', 'dz', 'dʒ', 'dl', 'i', 'ĩ', 's', 'ʃ', 'ɬ', 'x', 'xʷ', 'h', 'e', 'o', 'ẽ', 'õ', 'z', 'ʒ', 'l', 'ʝ', 'ɣ', 'ɣʷ', 'a', 'ã', 'ʝʼ', 'm', 'n', 'mʼ', 'n’', '']"
399,"Ndebele, Northern Transvaal",NIGER-CONGO (Bantu),"['pʼ', '\uf180pʼ', 't̪ʼ', 'n̪t̪ʼ', 'tlʼ', 'tʃʼ', 'kʼ', 'kxʼ', 'ŋkxʼ', 'pʰ', '\uf180pʰ', 'pʃʰ', 'tlʰ', 'tʰ', 'ⁿtʰ', 'tsʰ', 'tʃʰ', 'kʰ', 'kxʰ', 'dʒ', 'ⁿdʒ', '\uf180b', 'd̪', 'dl', 'ⁿdl', 'ⁿd', 'dz', 'b̥', 'mb̥', 'd̥', 'nd̥', 'ɟ̥', 'ɡ̥', 'ŋɡ̥', 'ʄ', 'ɠ', 'f', '\uf180f', 's', 'ⁿs', 's̞', 'n̞s̞', 'ʃ', 'x', 'χ', 'β', 'v', '\uf180v', 'ɣ', 'ɦ', 'ɬ', 'ⁿɬ', 'm', 'n̪', 'n', 'n̞', 'ɲ', 'ŋ', 'i', 'u', 'r', 'ɪ', 'ʊ', 'ɾ', 'e', 'o', 'l', 'ɛ', 'ɔ', 'w', 'j', 'ɑ', '']"
400,Ndyuka,CREOLE,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'a', 'm', 'n', 'l', 'w', 'j', '']"
401,Ngiti,NILO-SAHARAN,"['p', 't', 'ʈɽ', 'c', 'k', 'k͡p', 'b', 'd', 'ɖɽ', 'ɟ', 'ɡ', 'ɡ͡b', 'i', 'u', 'ɓ̥', 'ɖ˞', 'ʄ̥', 'ʔ', 'ɪ', 'ʊ', 'ɓ', 'ɗ', 'ʄ', 'e', 'o', '\uf180b', 'ⁿd', 'ɳɖɽ', 'ⁿɟ', '\uf182ɡ', '\uf182\uf180ɡ͡b', 'ɛ', 'ɔ', 'pf', 'ts', 'a', 'bv', 'dz', 'f', 's', 'h', 'v', 'z', '\uf180v', 'ⁿz', 'm', 'n', 'ɲ', 'β', 'l', 'r', 'j', 'w', '']"
402,Ngiyambaa,AUSTRALIAN (Pama-Nyungan),"['b', 'd̪', 'd', 'ɟ', 'ɡ', 'm', 'n̪', 'n', 'ɲ', 'ŋ', 'i', 'u', 'l', 'ʎ', 'a', 'r', 'w', 'ɻ', 'j', '']"
403,Nguna (North Efate),AUSTRONESIAN,"['p', 't̪', 'k', 'ɸ', 's', 'i', 'u', 'v', 'e', 'o', 'm', 'n̪', 'ŋ', 'a', 'mβ', 'l', 'w', 'ɾ', '']"
404,Ngura,AUSTRALIAN(?),"['p', 't̪', 't̪ʲ', 'ʈ', 'k', 'd', 'm', 'n̪', 'n̪ʲ', 'ɳ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'lʲ', 'ɭ', 'w', 'j', '']"
405,Nhanda (Yinggarda),AUSTRALIAN (Pama-Nyungan),"['p', 't̪', 't', 'ʈ', 'c', 'k', 'b', 'd̪', 'd', 'ɖ', 'ɟ', 'ɡ', 'i', 'u', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'a', 'l̪', 'l', 'ɭ', 'ʎ', 'w', 'ɻ', 'j', 'ʔ', '']"
406,Nigerian English (Nigerian Pidgin),CREOLE,"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'ʃ', 'h', 'e', 'o', 'v', 'z', 'ɛ', 'ɔ', 'm', 'n', 'ŋ', 'a', 'ɾ', 'l', 'w', 'j', '']"
407,Nimboran,TRANS-NEW GUINEA,"['p', 't̪', 'k', 'b', 'd̪', 'ɡ', 'i', 'ɨ', 'u', 's̪', 'h', 'e', 'o', 'm', 'n̪', 'ŋ', 'a', 'r', '']"
408,Nisgha (Nisgaʼa),PENUTIAN,"['p', 't̪', 'ts', 'k', 'kʷ', 'q', 'i', 'u', 'iː', 'uː', 'pʼ', 't̪ʼ', 'tsʼ', 'tɬʼ', 'kʼ', 'kʼʷ', 'qʼ', 'e', 'o', 'eː', 'oː', 's', 'ɬ', 'x', 'xʷ', 'χ', 'a', 'aː', 'm', 'n', 'l', 'j', 'w', 'h', 'mʼ', 'n’', 'lʼ', 'jʼ', 'wʼ', 'ʔ', '']"
409,Nkore-Kiga,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'b', 'd', 'ɡ', 'ɪ', 'ʊ', 'f', 's', 'ʃ', 'h', 'ɛ', 'o', 'v', 'z', 'ʒ', 'ɑ', 'm', 'n', 'ɲ', 'w', 'ɹ', 'j', '']"
410,Noni (Noone),NIGER-CONGO (Bantu),"['t', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'i', 'iː', 'u', 'uː', 'f', 's', 'ʃ', 'e', 'eː', 'o', 'oː', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'ɛː', 'ɔ', 'ɔː', 'w', 'l', 'j', 'ɰ', 'a', 'aː', '']"
411,Noon,NIGER-CONGO,"['p', 't', 'c', 'k', 'ʔ', 'b', 'd', 'ɟ', 'ɡ', 'i', 'iː', 'u', 'uː', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', 'ɪ', 'ɪː', 'ʊ', 'ʊː', 'ɓ', 'ɗ', 'ʄ', 'e', 'eː', 'o', 'oː', 'f', 's', 'h', 'ɛ', 'ɛː', 'ɔ', 'ɔː', 'm', 'n', 'ɲ', 'ŋ', 'ə', 'əː', 'r', 'a', 'aː', 'l', 'w', 'j', '']"
412,Nuer,NILO-SAHARAN,"['p', 't̪', 't', 'c', 'k', 'q', 'b', 'd', 'ɡ', 'ʔ', 'i', 'u', 'pɸ', 'ɪ', 'ə', 'ʊ', 'ɸ', 'θ', 'š', 'ç', 'h', 'e', 'o', 'β', 'ð', 'ʝ', 'ɦ', 'ɛ', 'ɔ', 'm', 'n̪', 'n', 'ɲ', 'ŋ', 'ʌ', 'l', 'ɑ', 'r', 'w', 'j', '']"
413,Nuuchahnulth (Tsishaath Nootka),WAKASHAN,"['p', 't', 'k', 'kʷ', 'q', 'qʷ', 'ʔ', 'iː', 'uː', 'pʼ', 'tʼ', 'kʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'ʔˤ', 'ts', 'tɬ', 'tʃ', 'aː', 'tsʼ', 'tɬʼ', 'tʃʼ', 's', 'ɬ', 'ɬʷ', 'ʃ', 'x', 'xʷ', 'χ', 'χʷ', 'ħ', 'ħʷ', 'h', 'i', 'u', 'm', 'n', 'a', 'mʼ', 'n’', 'j', 'w', 'jʼ', 'wʼ', '']"
414,Nyangumata,AUSTRALIAN (Pama-Nyungan),"['p', 't', 'ʈ', 'c', 'k', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'u', 'l', 'ɭ', 'ʎ', 'a', 'r', 'w', 'ɻ', 'j', '']"
415,Nyanja,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'v', 'z', 'a', 'm', 'n', 'ŋ', 'l', 'w', 'j', '']"
416,Nyanja (Chichewa dialect),NIGER-CONGO (Bantu),"['pʰ', 'pʰʷ', '\uf180pʰ', 'tʰ', 'tʰʷ', 'ⁿtʰ', 'kʰ', 'kʰʷ', '\uf182kʰ', 'p', 'pʷ', '\uf180p', 't', 'tʷ', 'ⁿt', 'k', 'kʷ', 'ⁿk', 'b', 'bʷ', '\uf180b', '\uf180bʷ', 'd', 'dʷ', 'ⁿd', 'ⁿdʷ', 'ɟ', 'ⁿɟ', 'ɡ', 'ɡʷ', '\uf180ɡ', 'i', 'u', 'tʃʰ', 'tʃʰʷ', 'ⁿtʃʰʷ', 'ɪ', 'ʊ', 'ps', 'ts', 'tʃ', 'tʃʷ', 'ⁿtʃʷ', 'e', 'o', 'dz', 'dʒ', 'ɛ', 'ɔ', 'bʲ', 'a', 'f', 'fʷ', '\uf180f', 's', 'sʷ', 'ⁿs', 'ʃ', 'v', 'vʷ', '\uf180v', 'z', 'zʷ', 'ⁿz', 'm', 'mʷ', 'n', 'nʷ', 'ŋ', 'l', '\uf180l', 'w', 'j', 'nʲ', 'ⁿɡʷ', '']"
417,Nyulnyul,AUSTRALIAN,"['b', 'd', 'ɖ', 'ɟ', 'ɡ', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'u', 'l', 'ɭ', 'ʎ', 'a', 'r', 'w', 'ɻ', 'j', '']"
